:START_ID,:END_ID,:TYPE,source_caseid
1000021,BNS_318,CHARGED_UNDER,1000021
1000021,ITACT_66D,CHARGED_UNDER,1000021
1000022,BNS_318,CHARGED_UNDER,1000022
1000022,ITACT_66D,CHARGED_UNDER,1000022
1000023,BNS_318,CHARGED_UNDER,1000023
1000023,ITACT_66D,CHARGED_UNDER,1000023
1000024,BNS_318,CHARGED_UNDER,1000024
1000024,ITACT_66D,CHARGED_UNDER,1000024
1000025,BNS_318,CHARGED_UNDER,1000025
1000025,ITACT_66D,CHARGED_UNDER,1000025
1000026,BNS_318,CHARGED_UNDER,1000026
1000026,ITACT_66D,CHARGED_UNDER,1000026
1000027,BNS_318,CHARGED_UNDER,1000027
1000027,ITACT_66D,CHARGED_UNDER,1000027
1000028,BNS_318,CHARGED_UNDER,1000028
1000028,ITACT_66D,CHARGED_UNDER,1000028
1000029,BNS_318,CHARGED_UNDER,1000029
1000029,ITACT_66C,CHARGED_UNDER,1000029
1000029,ITACT_66D,CHARGED_UNDER,1000029
1000030,BNS_318,CHARGED_UNDER,1000030
1000030,BNS_319,CHARGED_UNDER,1000030
1000030,ITACT_66C,CHARGED_UNDER,1000030
1000030,ITACT_66D,CHARGED_UNDER,1000030
1000031,BNS_318,CHARGED_UNDER,1000031
1000031,ITACT_66C,CHARGED_UNDER,1000031
1000031,ITACT_66D,CHARGED_UNDER,1000031
1000032,BNS_318,CHARGED_UNDER,1000032
1000032,ITACT_66C,CHARGED_UNDER,1000032
1000032,ITACT_66D,CHARGED_UNDER,1000032
1000033,BNS_318,CHARGED_UNDER,1000033
1000033,ITACT_66D,CHARGED_UNDER,1000033
1000033,PMLA_3,CHARGED_UNDER,1000033
1000034,BNS_318,CHARGED_UNDER,1000034
1000034,PMLA_3,CHARGED_UNDER,1000034
1000035,BNS_318,CHARGED_UNDER,1000035
1000035,BNS_319,CHARGED_UNDER,1000035
1000035,ITACT_66C,CHARGED_UNDER,1000035
1000035,ITACT_66D,CHARGED_UNDER,1000035
1000036,BNS_318,CHARGED_UNDER,1000036
1000036,ITACT_66D,CHARGED_UNDER,1000036
1000037,BNS_319,CHARGED_UNDER,1000037
1000037,ITACT_66C,CHARGED_UNDER,1000037
1000037,ITACT_66D,CHARGED_UNDER,1000037
1000038,BNS_318,CHARGED_UNDER,1000038
1000038,BNS_319,CHARGED_UNDER,1000038
1000038,ITACT_66D,CHARGED_UNDER,1000038
1000039,BNS_318,CHARGED_UNDER,1000039
1000039,BNS_319,CHARGED_UNDER,1000039
1000039,ITACT_66C,CHARGED_UNDER,1000039
1000039,ITACT_66D,CHARGED_UNDER,1000039
1000040,BNS_319,CHARGED_UNDER,1000040
1000040,ITACT_66C,CHARGED_UNDER,1000040
1000041,BNS_319,CHARGED_UNDER,1000041
1000041,ITACT_66C,CHARGED_UNDER,1000041
1000041,ITACT_66D,CHARGED_UNDER,1000041
1000042,BNS_318,CHARGED_UNDER,1000042
1000042,ITACT_66C,CHARGED_UNDER,1000042
1000042,ITACT_66D,CHARGED_UNDER,1000042
1000043,BNS_318,CHARGED_UNDER,1000043
1000043,ITACT_66D,CHARGED_UNDER,1000043
1000043,PMLA_3,CHARGED_UNDER,1000043
1000044,BNS_318,CHARGED_UNDER,1000044
1000044,ITACT_66D,CHARGED_UNDER,1000044
1000044,PMLA_3,CHARGED_UNDER,1000044
1000045,BNS_318,CHARGED_UNDER,1000045
1000045,ITACT_66C,CHARGED_UNDER,1000045
1000045,ITACT_66D,CHARGED_UNDER,1000045
1000046,BNS_318,CHARGED_UNDER,1000046
1000046,BNS_319,CHARGED_UNDER,1000046
1000046,ITACT_66D,CHARGED_UNDER,1000046
1000047,BNS_318,CHARGED_UNDER,1000047
1000047,ITACT_66D,CHARGED_UNDER,1000047
1000047,PMLA_3,CHARGED_UNDER,1000047
1000048,BNS_318,CHARGED_UNDER,1000048
1000048,ITACT_66C,CHARGED_UNDER,1000048
1000048,ITACT_66D,CHARGED_UNDER,1000048
1000049,BNS_318,CHARGED_UNDER,1000049
1000049,ITACT_66D,CHARGED_UNDER,1000049
1000049,PMLA_3,CHARGED_UNDER,1000049
1000050,BNS_318,CHARGED_UNDER,1000050
1000050,ITACT_66D,CHARGED_UNDER,1000050
1000051,BNS_318,CHARGED_UNDER,1000051
1000051,ITACT_66C,CHARGED_UNDER,1000051
1000051,ITACT_66D,CHARGED_UNDER,1000051
1000052,BNS_318,CHARGED_UNDER,1000052
1000052,ITACT_66C,CHARGED_UNDER,1000052
1000052,ITACT_66D,CHARGED_UNDER,1000052
1000053,BNS_318,CHARGED_UNDER,1000053
1000053,ITACT_66D,CHARGED_UNDER,1000053
1000054,BNS_318,CHARGED_UNDER,1000054
1000054,ITACT_66D,CHARGED_UNDER,1000054
1000054,PMLA_3,CHARGED_UNDER,1000054
1000055,BNS_318,CHARGED_UNDER,1000055
1000055,BNS_319,CHARGED_UNDER,1000055
1000055,ITACT_66C,CHARGED_UNDER,1000055
1000055,ITACT_66D,CHARGED_UNDER,1000055
1000056,BNS_318,CHARGED_UNDER,1000056
1000056,ITACT_66C,CHARGED_UNDER,1000056
1000056,ITACT_66D,CHARGED_UNDER,1000056
1000057,BNS_319,CHARGED_UNDER,1000057
1000057,ITACT_66C,CHARGED_UNDER,1000057
1000058,BNS_318,CHARGED_UNDER,1000058
1000058,ITACT_66D,CHARGED_UNDER,1000058
1000059,BNS_318,CHARGED_UNDER,1000059
1000059,BNS_319,CHARGED_UNDER,1000059
1000059,ITACT_66C,CHARGED_UNDER,1000059
1000059,ITACT_66D,CHARGED_UNDER,1000059
1000060,BNS_319,CHARGED_UNDER,1000060
1000060,ITACT_66C,CHARGED_UNDER,1000060
1000060,ITACT_66D,CHARGED_UNDER,1000060
1000061,BNS_318,CHARGED_UNDER,1000061
1000061,BNS_319,CHARGED_UNDER,1000061
1000061,ITACT_66C,CHARGED_UNDER,1000061
1000061,ITACT_66D,CHARGED_UNDER,1000061
1000062,BNS_318,CHARGED_UNDER,1000062
1000062,PMLA_3,CHARGED_UNDER,1000062
